"ITTER107","Territorio","TIPO_DATO2","Tipo indice","PRODCONS_AGRI_A","Prodotti acquistati","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","65","indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2022-09","Set-2022",146.1,,
"IT","Italia","65","indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2022-10","Ott-2022",152.2,,
"IT","Italia","65","indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2022-11","Nov-2022",152,,
"IT","Italia","65","indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2022-12","Dic-2022",151,,
"IT","Italia","65","indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2023-01","Gen-2023",148.4,,
"IT","Italia","65","indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2023-02","Feb-2023",146.7,,
"IT","Italia","65","indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2023-03","Mar-2023",143.3,,
"IT","Italia","65","indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2023-04","Apr-2023",141.8,,
"IT","Italia","65","indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2023-05","Mag-2023",139.8,,
"IT","Italia","65","indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2023-06","Giu-2023",137.3,,
"IT","Italia","65","indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2023-07","Lug-2023",135.8,,
"IT","Italia","65","indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2023-08","Ago-2023",136.3,,
"IT","Italia","65","indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2023-09","Set-2023",135.8,,
"IT","Italia","69","variazioni congiunturali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2022-09","Set-2022",-0.1,,
"IT","Italia","69","variazioni congiunturali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2022-10","Ott-2022",4.2,,
"IT","Italia","69","variazioni congiunturali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2022-11","Nov-2022",-0.1,,
"IT","Italia","69","variazioni congiunturali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2022-12","Dic-2022",-0.7,,
"IT","Italia","69","variazioni congiunturali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2023-01","Gen-2023",-1.7,,
"IT","Italia","69","variazioni congiunturali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2023-02","Feb-2023",-1.1,,
"IT","Italia","69","variazioni congiunturali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2023-03","Mar-2023",-2.3,,
"IT","Italia","69","variazioni congiunturali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2023-04","Apr-2023",-1,,
"IT","Italia","69","variazioni congiunturali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2023-05","Mag-2023",-1.4,,
"IT","Italia","69","variazioni congiunturali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2023-06","Giu-2023",-1.8,,
"IT","Italia","69","variazioni congiunturali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili","GOODSSERV","consumi intermedi","2023-07","Lug-2023",-1.1,,
