Anno;Cod_Azienda;Specie_Vegetale;PLT;PLV;PRA;PTA;Provincia;Regione;SAU;Biologica;SAU_Irrigata;KW_Macchine;avg_year;min_avg_year;max_avg_year;min_min_year;min_max_year;max_min_year;max_max_year;tot_prec_year;Tipo_Certificazione;max_irrigate;Produzione;Sum_Spesa_Distribuita;CAPITALE_FISSO;CAPITALE_CIRCOLANTE;PATRIMONIO_NETTO;CAPITALE_NETTO_TOTALE;LIQUIDITA_IMMEDIATE;UTILE_PERDITA_ESERCIZIO;Sum_Quantit�_azoto;Sum_Quantit�_fosforo;Sum_Quantit�_potassio;Sum_Valore_del_distribuito;lavoro_dipendente_ore_uomo;lavoro_dipendente_ore_macchina;lavoro_dipendente_ul;lavoro_famigliare_ore_uomo;lavoro_famigliare_ore_macchina
2015;2702015012104000001;Melo;20000;20000;0;0;Lucca;Toscana;4,52;N;3,3;105;13,9990146;9,660904229;18,222046;-5,686384282;22,45452734;4,217323495;34,05716463;922,090379;;1;200;660;1881;51481;53320;21983;31161;32355;292,46;156,85;293,46;1480;0;0;0;2240;0
2015;2812008020714000001;Melo;11040;11040;0;0;Ascoli Piceno;Marche;7,32;N;7,02;133;14,12420565;9,828561446;18,34579975;-4,086756219;22,97515834;3,536961949;34,12131836;1015,131131;;1;175;370;19987;41085;61072;28742;39850;33686;128,91;0;0;375;224;0;0,12;2000;0
2015;2822009009826000001;Melo;37600;37600;0;0;Perugia;Umbria;15,17;N;4,71;169;13,12596793;8,821072064;17,64760263;-5,308083733;23,87052528;1,428628148;34,60542608;853,0467468;;1;500;7210;261701;69053;327250;285359;61790;41891;514;496;450;2342;1601;1;0,89;2640;0
2015;2822015010207000001;Melo;95250;95250;0;0;Perugia;Umbria;20;N;5;202;13,8517192;9,556958132;18,45297811;-2,899727621;24,3476237;3,903035323;34,83879534;771,8611383;;1;1500;10000;711025;108888;817802;732343;108888;86915;159,15;120;120;2200;1280;0;0,71;4788;0
2015;2912015996993000001;Melo;66000;66000;0;0;Viterbo;Lazio;10,14;N;5,58;81;14,6474595;10,48966936;19,37920017;-1,453324444;23,98778793;4,316846024;35,75999078;762,3330156;;1;2200;2250;51940;48524;100464;57953;48524;42511;220;110;110;550;0;0;0;1800;0
2015;3022008007001000001;Melo;17500;17500;0;0;Benevento;Campania;6,78;N;0;54;14,9363155;10,15810403;19,79491384;-2,368965795;24,08196627;2,953528443;36,30820478;1069,616354;;0;350;1700;69121;16294;85861;69206;16294;16653;590;295;295;1180;0;0;0;2800;0
2015;3022008014002000001;Melo;88200;88200;0;0;Napoli;Campania;28;N;28;304;16,7054819;13,10161094;20,25477657;0,997061137;25,51844464;5,457150493;34,83356384;1066,56156;;1;1960;5504;549295;186977;736272;711279;176858;24993;384;384;384;2494;13000;0;7,22;4400;0
2015;3022008015346000001;Melo;13200;13200;0;0;Napoli;Campania;6,2;N;6,2;75;16,73636814;13,18299785;20,23610633;1,139718287;25,55022524;5,457258514;34,76303086;1065,426039;;1;220;1600;150971;49140;200111;164983;49140;35128;545,45;109,09;109,09;1200;3000;0;1,67;2240;0
2015;3022008023003000001;Melo;22500;22500;0;0;Salerno;Campania;1,4;N;1,4;70;14,99619822;11,44784376;18,45936214;-0,935586142;24,91150723;2,400667999;33,18862028;1205,423268;;1;500;2015;177427;12187;189613;185508;11567;4106;433,14;1420,99;2377,82;2693;0;0;0;1280;0
2015;3022014033677000001;Melo;14080;14080;0;0;Napoli;Campania;13;N;13;252;16,76976018;13,28982834;20,20083022;1,250248524;25,5415486;5,645645812;34,64756226;1061,336456;;1;440;2305;496202;59563;555765;531500;58351;24265;240;136;136;848;975;0;0,54;3800;0
2015;3022014033702000001;Melo;56160;56160;0;0;Caserta;Campania;9;N;9;121;15,19390843;10,51578201;19,86490951;-1,669373835;23,32135963;4,31027922;35,59384397;1103,860657;;1;1560;3000;230144;63565;293708;257151;62302;36558;1807,38;1721,31;1032,79;3500;1600;0;0,89;3200;0
2015;3022015033905000001;Melo;14400;14400;0;0;Napoli;Campania;4,7;N;3,5;50;16,73910929;13,20525386;20,22214114;1,148435727;25,49892316;5,649237527;34,71454314;1064,853554;;0;180;2600;82029;22599;104628;88032;22599;16596;581,82;218,18;145,46;1600;2400;0;1,33;2000;0
2015;3022015033912000001;Melo;72000;72000;0;0;Napoli;Campania;12;N;2;60;16,7767253;13,29701557;20,20434113;1,342803472;25,58638732;5,471394479;34,64947046;1064,466578;;0;1200;5800;299222;71853;371075;307272;71853;63803;3000;600;600;6000;4200;0;2,33;2000;0
2017;2222008115476000001;Melo;89216;89216;0;0;Cuneo;Piemonte;30,47;N;30,47;355;11,78842317;7,16349337;16,45907708;-14,15142988;21,80471822;-1,21275217;33,82332926;1047,709347;;1;2176;13960;1622391;1016260;2638651;2562524;1016178;76127;1157,55;1157,55;1639,87;5500;2400;0;1,33;13500;0
2017;2222008180544000001;Melo;114398;114398;0;0;Cuneo;Piemonte;11,9;N;10,96;243;10,55084463;5,935292816;15,23637876;-13,91604915;20,61718061;-2,057472998;32,44132523;1208,373513;;1;2566;4500;265249;480575;745824;660140;480575;85684;3750;3750;3750;3250;1200;0;0,67;2400;0
2017;2222008180589000001;Melo;35175;35175;0;0;Cuneo;Piemonte;16,37;N;16,16;213;10,38281809;5,40701916;15,17011528;-15,19838132;20,0908684;-2,176257472;31,82806729;988,6796557;;1;1005;4141;179911;431728;611478;574304;429515;37372;769,44;29,33;82,11;1254;14;14;0,01;7292;0
2017;2222010017048000001;Melo;57412;57412;0;0;Cuneo;Piemonte;22,32;S;16,28;294;11,32623544;6,634708547;16,075587;-13,94013108;21,51594434;-1,61820413;33,46193953;1132,923545;Coltivazione su superficie biologica in conversione, Prodotto biologico da superficie in conversione;1;1276;6397;1446168;396964;1843896;1780334;396964;63562;;;;;3225;5;1,68;800;0
2017;2222008115478000001;Melo;39935;39935;0;0;Cuneo;Piemonte;17,63;N;17,63;249;10,59075204;5,885307865;15,26130135;-13,74970476;20,4692638;-1,92364322;32,05370978;1137,488147;;1;1141;5375;111678;536983;648661;589517;536904;59144;122,1;122,1;172,96;541;728;0;0,4;5400;0
2017;2222008115124000001;Melo;725608;725608;0;0;Cuneo;Piemonte;22,88;S;22,88;437;11,54089707;6,985863539;16,15464855;-13,35652816;21,55261365;-1,309511821;33,29974108;1133,845477;Coltivazione su superficie biologica;1;5919;25522;1099655;4653450;5752679;5000041;4638883;752638;940,14;940,14;1331,87;5060;13973;133;7,76;8100;0
2017;2222008175038000001;Melo;1910;1910;0;0;Asti;Piemonte;6,74;N;0;103;13,41405917;8,742741787;18,39451543;-13,35843713;23,8028365;-0,438117063;35,99610726;684,9443393;;0;100;300;437380;192527;628152;624466;192527;3686;50;120;180;159;0;0;0;6000;0
2017;2222009015530000001;Melo;53071;53071;0;0;Cuneo;Piemonte;16,42;N;16,42;323;11,94042787;7,281997575;16,62095602;-14,02361222;21,95927431;-1,109070913;33,97749848;963,9005924;;1;1561;4474;1713763;760583;2474346;2430947;760506;43399;433,36;0;577,82;1400;3882;0;2,16;5400;0
2018;2212013020026000001;Melo;12047;12047;0;0;Aosta;Valle Dâ€™Aosta;12,73;N;11,32;177;3,355604689;-0,435036153;6,960199569;-22,99695904;14,54694409;-15,03797002;22,68877847;1492,849693;;1;601;1800;417817;120454;305033;297484;0;10276;957,73;957,73;957,73;986;80;30;0,04;3620;0
2018;2212009001639000001;Melo;7998;7998;0;0;Aosta;Valle Dâ€™Aosta;2,08;N;2,08;303;3,271516443;-0,526207197;6,940895714;-23,23298719;14,3651209;-14,90624591;22,83525415;1473,608274;Denominazioni di Origine Protetta (DOP);1;100;100;55007;57461;111427;117631;45446;9770;0;0;0;75;0;0;0;2140;0
2018;2212011019992000001;Melo;14200;2200;0;12000;Aosta;Valle Dâ€™Aosta;2,36;N;1,15;177;5,93727589;1,874199121;9,496033502;-18,49349385;15,53431216;-11,05416167;23,96127486;1842,121343;;1;142;500;1377500;353665;1397967;1370286;311487;79221;;;;;0;0;0;4800;0
2018;2212011019993000001;Melo;198059;123630;0;74429;Aosta;Valle Dâ€™Aosta;5,52;N;4,59;81;3,832377248;0,040468166;7,339129775;-22,73341701;15,35813465;-14,9740317;22,78621806;1575,834676;;1;1468;800;346481;51712;375332;259993;0;115807;;;;;0;0;0;2800;0
2018;2212011020013000001;Melo;72088;24088;0;48000;Aosta;Valle Dâ€™Aosta;8,71;S;6,12;393;3,605468288;-0,189100344;7,195620812;-22,97954323;14,93820839;-14,99693655;22,94166333;1505,448857;;1;600;1408;622701;239918;736021;675268;118141;74791;;;;;0;0;0;3800;0
2015;2702015012046000001;Melo;3850;3850;0;0;Prato;Toscana;12;S;0;96;13,38714734;9,010118078;17,80734505;-7,220407697;23,13450985;2,504637986;34,58771204;857,6234536;;0;70;;222009;1226;223227;224602;1226;-1375;;;;;0;0;0;2040;0
2016;2212008000271000001;Melo;253438;253438;0;0;Aosta;Valle Dâ€™Aosta;8,67;N;8,38;242;2,547963332;-1,485157799;6,317852173;-24,62059523;13,61674083;-13,03085379;24,31865441;1275,053406;;1;2555;13250;529429;245127;770940;696076;188944;74864;454,84;909,68;1364,52;2100;5612;0;3,12;7440;0
2016;2212008000479000001;Melo;81880;81880;0;0;Aosta;Valle Dâ€™Aosta;16,89;N;13,8;151;2,48908698;-1,570373999;6,246714004;-24,8959149;13,71281591;-13,21073806;24,3183349;1286,52565;;1;1950;2300;1160042;126497;1248882;1236332;19721;13079;8,55;17,09;34,18;2000;3110;0;1,72;3600;0
2016;2212008000800000001;Melo;56394;56394;0;0;Aosta;Valle Dâ€™Aosta;3,18;N;4,1;237;2,514282371;-1,515831257;6,283666826;-24,60760489;13,57211516;-13,05637716;24,27347177;1275,079476;;1;500;200;674960;161498;744358;585049;11250;170380;;;;;0;0;0;5600;0
2016;2212008001358000001;Melo;0;0;0;0;Aosta;Valle Dâ€™Aosta;1,98;N;1,23;185;2,501108369;-1,504396278;6,271727515;-24,23787778;13,52507952;-12,94451283;24,41049856;1275,457094;;0;;;259441;34591;278475;262738;31391;15736;;;;;280;0;0,16;3760;0
2016;2212008010139000001;Melo;9478;9478;0;0;Aosta;Valle Dâ€™Aosta;2,41;N;2,48;59;2,696799534;-1,352092519;6,469414603;-24,78016356;13,76614824;-12,98876586;24,41250904;1279,710478;;1;129,59;400;114558;43049;153941;134969;35930;18972;;;;;1500;0;0,83;1600;0
2016;2212008010163000001;Melo;0;0;0;0;Aosta;Valle Dâ€™Aosta;2,08;N;2,44;48;2,028979336;-1,956499508;5,814606053;-24,03423201;12,91794105;-13,07264027;23,92440197;1281,974265;;1;;;87217;63594;154821;128362;34794;26458;;;;;170;0;0,09;2160;0
2016;2212009000459000001;Melo;3350;3350;0;0;Aosta;Valle Dâ€™Aosta;9,9;S;9,31;258;2,849674689;-1,241714343;6,611908656;-25,19855094;14,1074452;-13,13798177;24,50148122;1269,322772;;1;67;600;1695095;1142631;2785988;2407080;275996;379774;222,58;222,58;222,58;837;2808;0;1,56;8560;0
2016;2212009001334000001;Melo;0;0;0;0;Aosta;Valle Dâ€™Aosta;0,41;N;0,37;4;2,498683804;-1,502986753;6,269886349;-24,17334001;13,52452983;-12,91016172;24,44890045;1275,611105;;0;;;58717;51210;109597;97797;46516;11800;;;;;0;0;0;1600;0
2016;2212009001638000001;Melo;105050;105050;0;0;Aosta;Valle Dâ€™Aosta;9,78;N;9,39;111;2,382751406;-1,620527064;6,157461091;-24,1512425;13,40933643;-12,91559641;24,37177955;1275,768688;Denominazioni di Origine Protetta (DOP);1;2101;2000;103104;175340;274484;200098;3482;74836;776,03;776,03;776,03;2396;1657;0;0,92;3200;0
2016;2212009001639000001;Melo;2883;2883;0;0;Aosta;Valle Dâ€™Aosta;2,13;S;2,13;150;2,528135292;-1,475077603;6,30026191;-24,15661614;13,56285161;-12,86952251;24,50395607;1275,63644;Denominazioni di Origine Protetta (DOP);1;34;5;47853;18630;68635;64160;10389;4474;6,74;6,74;6,74;10;0;0;0;2100;0
2016;2212010000669000001;Melo;12000;12000;0;0;Aosta;Valle Dâ€™Aosta;2,04;N;1,6;48;6,088798097;1,565578053;10,03742172;-18,48657537;15,89568902;-6,319176862;23,94080518;1506,660503;;1;80;70;147172;10045;157217;154560;5854;4637;;;;;0;0;0;1800;0
2016;2212011019993000001;Melo;37250;37000;0;250;Aosta;Valle Dâ€™Aosta;4,92;N;4,59;81;3,316519863;-0,857188764;7,106195417;-25,33187612;14,4876562;-12,75563001;24,30039638;1281,378269;;1;675;1000;351254;10700;195791;175487;0;20564;0;0;0;750;0;0;0;4060;0
2016;2212011020013000001;Melo;44209;10092;0;34117;Aosta;Valle Dâ€™Aosta;8,71;S;6,12;327;2,951130288;-1,126929612;6,727202016;-24,90635099;14,10822221;-12,88310134;24,64135595;1272,879019;;1;420;1500;431762;129394;409250;334129;58114;75122;;;;;40;36;0,02;3600;0
2016;2212013020026000001;Melo;34026;34026;0;0;Aosta;Valle Dâ€™Aosta;11,95;N;9,61;159;2,682218913;-1,369837293;6,45500358;-24,7831401;13,76279596;-13,02379893;24,37934468;1281,201746;;1;67;2018;317478;111553;329188;301059;42542;32179;65,75;65,75;65,75;428;1500;0;0,83;3460;0
2015;2702014011736000001;Melo;3440;3440;0;0;Firenze;Toscana;6,27;S;4,2;186;14,5713904;9,472043279;19,5067233;-5,284130956;23,92292079;5,840354827;35,85466572;775,5205685;;1;12,33;;126213;23825;150038;132934;23825;17104;;;;;0;0;0;4240;0
2016;2222008000087000001;Melo;21482;21482;0;0;Torino;Piemonte;6,2;N;6,2;243;10,23420507;5,568276223;14,66991388;-10,56929622;19,49834446;-0,906018283;28,88158439;1520,018156;;1;686;1327;4257;51374;55631;27555;31628;28076;;;;;0;0;0;3400;0
2016;2222008000299000001;Melo;32219;32219;0;0;Torino;Piemonte;8,83;N;18,37;162;9,689860908;5,026346624;14,17050752;-11,49882635;18,65267953;-1,267743372;28,3239998;1607,752039;;1;880;3217;341024;372336;570683;436057;98748;282241;;;;;0;0;0;5440;0
2016;2222008000425000001;Melo;154730;151030;0;3700;Torino;Piemonte;24,75;S;21,4;305;9,299213274;4,643875429;13,76337821;-12,04117685;18,20056311;-1,692660493;27,84441801;1595,389116;;1;4300;11442;817147;509667;1327564;1031884;249163;295680;422,71;0;0;2558;6;6;0;11200;0
2016;2222008000466000001;Melo;334420;333820;0;600;Torino;Piemonte;23,19;S;23,19;360;10,21041231;5,590476668;14,67137327;-10,56355029;19,38725416;-0,771151128;28,98196956;1534,103208;;1;5520;20752;303815;507481;811296;478449;410498;332847;68;0;0;3459;555;75;0,31;10880;0
2016;2222008015056000001;Melo;15896;15896;0;0;Cuneo;Piemonte;2,89;N;2,22;151;10,46539374;6,085126605;14,89471188;-10,00068175;19,55932657;-0,338703967;29,6745807;1609,819255;;1;370,6;3894;102644;36103;138747;134577;36030;4170;154,13;154,13;115,6;810;0;0;0;2000;0
2016;2222008017011000001;Melo;85199;85199;0;0;Cuneo;Piemonte;20,59;S;31,24;421;11,04528404;6,668990331;15,47928377;-9,438000556;20,20046349;0,328943293;30,27975677;1622,575447;Coltivazione su superficie biologica;1;2340;13826;1952862;94368;2047229;1997268;94368;49962;395,2;0;0;783;2740;50;1,53;1600;0
2016;2222008017014000001;Melo;116331;116331;0;0;Cuneo;Piemonte;15,91;N;20,89;210;11,31384261;7,052054338;15,6071911;-9,128714547;20,61418692;0,349441722;30,46121376;1636,55348;;1;2756;23078;578409;149671;719582;617737;149671;101845;255;85;340;884;7050;10;3,79;4200;0
2016;2222008020071000001;Melo;0;0;0;0;Asti;Piemonte;2,73;N;0;40;13,04430211;8,76905375;17,524831;-5,928614623;21,96343266;0,83086865;32,81524726;1040,377488;;0;;;8747;15220;23967;22327;15220;1640;;;;;0;0;0;2400;0
2016;2222008080171000001;Melo;22285;22285;0;0;Cuneo;Piemonte;14,52;N;8,76;212;11,25290057;7,016823794;15,77212406;-9,624994099;20,40157111;0,529172443;30,2461556;1325,412936;;1;300;1424;862965;72002;934756;871277;71860;63482;338,05;0;42,92;745;0;0;0;2400;0
2016;2222008080528000001;Melo;70618;70618;0;0;Cuneo;Piemonte;10,49;N;10,49;176;11,36106393;7,184295437;15,58683439;-8,470544643;20,65645936;0,33872951;30,38826628;1681,179487;;1;1569;8576;623588;94798;718057;643847;94719;74209;579,14;471,65;745,84;2506;904;0;0,5;4996;0
