Anno;Cod_Azienda;Specie_Vegetale;PLT;PLV;PRA;PTA;Provincia;Regione;SAU;Biologica;SAU_Irrigata;KW_Macchine;avg_year;min_avg_year;max_avg_year;min_min_year;min_max_year;max_min_year;max_max_year;tot_prec_year;Tipo_Certificazione;max_irrigate;Produzione;Sum_Spesa_Distribuita;CAPITALE_FISSO;CAPITALE_CIRCOLANTE;PATRIMONIO_NETTO;CAPITALE_NETTO_TOTALE;LIQUIDITA_IMMEDIATE;UTILE_PERDITA_ESERCIZIO;Sum_Quantità_azoto;Sum_Quantità_fosforo;Sum_Quantità_potassio;Sum_Valore_del_distribuito;lavoro_dipendente_ore_uomo;lavoro_dipendente_ore_macchina;lavoro_dipendente_ul;lavoro_famigliare_ore_uomo;lavoro_famigliare_ore_macchina
2015;2702015012100000001;Vite per vino di qualità;11250;0;0;11250;Firenze;Toscana;22,25;N;0;45;14,22806142;9,417228875;18,89288447;-5,468766752;24,38475764;4,128419143;35,59921971;804,270113;Vite per vino IGT;0;445,1;300;677325;27320;697925;694290;26100;6131;280,03;715,62;0;485;1330;0;0,74;2400;0
2015;2702015012103000001;Vite per vino di qualità;18000;0;0;18000;Lucca;Toscana;6,96;S;0;59;14,82438711;11,28871914;18,21697526;-3,043593227;23,66859517;5,377378237;32,83739283;954,4651906;Vite per vino IGT;0;560;1295;86624;116395;196884;166894;50015;29990;0;0;0;550;320;0;0,18;1440;0
2015;2702015012105000001;Vite per vino di qualità;54000;0;0;54000;Firenze;Toscana;68;S;0;361;13,53562608;8,641645448;18,18498708;-6,220891041;24,2728356;3,708474038;34,67530586;817,4510582;Vite per vino DOCG;0;2310;30840;12392;435185;351610;264642;219465;86968;400;233,33;500;2500;7590;30;4,22;960;0
2015;2702015012114000001;Vite per vino di qualità;39060;0;0;39060;Firenze;Toscana;30,71;S;0;213;13,50484908;8,784004901;18,04149693;-6,955470714;24,61422658;3,099041432;34,74609059;828,0881019;Vite per vino DOCG;0;948,6;5019;1360200;338056;1598884;1152454;287278;446430;;;;;8680;1000;4,83;8000;0
2015;2702015012208000001;Vite per vino di qualità;23900;23900;0;0;Firenze;Toscana;9,06;N;0;118;14,03095099;8,988466014;18,80352151;-4,979744397;24,56414235;4,807523576;35,28713893;796,1540162;Vite per vino DOCG;0;240;2057;11458;82322;91666;11940;82322;79726;;;;;1640;0;0,92;2000;0
2015;2812008020114000001;Vite per vino di qualità;17530;17100;0;430;Ancona;Marche;4,27;N;0;120;15,00286795;10,81097655;19,16226025;-2,228475491;25,16507378;5,406512338;35,6052096;764,8100599;Vite per vino DOC;0;397;450;97559;65081;161904;145465;39041;18042;351,27;91,64;91,64;420;2;1;0;2900;0
2015;2812008020213000001;Vite per vino di qualità;12915;0;0;12915;Ancona;Marche;16,28;N;0;149;14,36673796;9,92448309;18,82822548;-4,150939601;24,11180827;4,511480123;35,45650363;801,6776644;Vite per vino DOC;0;497;1900;169127;39596;203431;184059;22546;20882;266,67;266,67;266,67;1000;8;16;0;3120;0
2015;2812008020402000001;Vite per vino di qualità;19600;0;0;19600;Ancona;Marche;39,36;S;0;421;14,44004104;9,944663443;18,94822465;-4,175744577;24,11505356;4,596704902;35,65866985;805,4116895;Vite per vino DOC;0;815;6100;198412;69872;236392;196211;41513;40182;516,67;1033,33;1033,33;3100;180;180;0,1;4640;0
2015;2812008020418000001;Vite per vino di qualità;36800;36800;0;0;Ancona;Marche;47,41;S;0;301;14,57357167;10,04283753;19,09766917;-3,812709808;24,06783273;4,71073249;35,87709931;800,8624428;Vite per vino DOC, Vite per vino IGT;0;920;7050;298853;35137;332007;321632;22188;10374;576,92;1153,85;1153,85;3750;48;48;0,03;5680;0
2015;2812008020425000001;Vite per vino di qualità;42000;42000;0;0;Ancona;Marche;8,24;N;0;128;15,30082756;11,15585412;19,37989738;-1,769482702;25,26574026;5,561701742;35,81991806;740,5498539;Vite per vino DOC;0;1000;1450;172724;84756;256172;231519;37006;24653;832;384;384;1600;0;0;0;5200;0
